0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:35:15 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:38:29 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:38:32 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:38:36 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:38:36 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:38:36 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:41:07 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:48:59 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [10/Jan/2020:14:49:08 +0900] "GET /clientweb/js_dom/domExam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:23:59 +0900] "GET /clientweb/jQuery/jqurey_effect_test01.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:23:59 +0900] "GET /clientweb/images/m_garden01.jpg HTTP/1.1" 200 160674
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:27:30 +0900] "GET /clientweb/jQuery/jqurey_effect_test01.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:27:30 +0900] "GET /clientweb/common/css/my_style.css HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:28:02 +0900] "GET /clientweb/jQuery/jqurey_effect_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:28:02 +0900] "GET /clientweb/common/css/my_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:28:02 +0900] "GET /clientweb/images/m_garden01.jpg HTTP/1.1" 304 -
